"","gene_short_name","feature"
"LAPTM5","LAPTM5","NA"
"AL137027.1","AL137027.1","NA"
"LINC01778","LINC01778","NA"
"AL445235.1","AL445235.1","NA"
"SDC3","SDC3","NA"
"PUM1","PUM1","NA"
"NKAIN1","NKAIN1","NA"
"SNRNP40","SNRNP40","NA"
"ZCCHC17","ZCCHC17","NA"
"AL451070.1","AL451070.1","NA"
"FABP3","FABP3","NA"
"SERINC2","SERINC2","NA"
"AC114488.1","AC114488.1","NA"
"TINAGL1","TINAGL1","NA"
"HCRTR1","HCRTR1","NA"
"PEF1","PEF1","NA"
"AC114488.2","AC114488.2","NA"
"AC114488.3","AC114488.3","NA"
"COL16A1","COL16A1","NA"
"ADGRB2","ADGRB2","NA"
"AL354919.2","AL354919.2","NA"
"SPOCD1","SPOCD1","NA"
"AL354919.1","AL354919.1","NA"
"AL136115.2","AL136115.2","NA"
"PTP4A2","PTP4A2","NA"
"AL136115.1","AL136115.1","NA"
"AL136115.3","AL136115.3","NA"
"KHDRBS1","KHDRBS1","NA"
"AL445248.1","AL445248.1","NA"
"TMEM39B","TMEM39B","NA"
"KPNA6","KPNA6","NA"
"TXLNA","TXLNA","NA"
"CCDC28B","CCDC28B","NA"
"AL049795.1","AL049795.1","NA"
"IQCC","IQCC","NA"
"DCDC2B","DCDC2B","NA"
"TMEM234","TMEM234","NA"
"EIF3I","EIF3I","NA"
"FAM167B","FAM167B","NA"
"LCK","LCK","NA"
"HDAC1","HDAC1","NA"
"MARCKSL1","MARCKSL1","NA"
"AL109945.1","AL109945.1","NA"
"TSSK3","TSSK3","NA"
"FAM229A","FAM229A","NA"
"BSDC1","BSDC1","NA"
"AL033529.1","AL033529.1","NA"
"ZBTB8B","ZBTB8B","NA"
"ZBTB8A","ZBTB8A","NA"
"ZBTB8OS","ZBTB8OS","NA"
"RBBP4","RBBP4","NA"
"SYNC","SYNC","NA"
"AC114489.1","AC114489.1","NA"
"KIAA1522","KIAA1522","NA"
"YARS","YARS","NA"
"S100PBP","S100PBP","NA"
"FNDC5","FNDC5","NA"
"HPCA","HPCA","NA"
"TMEM54","TMEM54","NA"
"RNF19B","RNF19B","NA"
"AL020995.1","AL020995.1","NA"
"AK2","AK2","NA"
"AZIN2","AZIN2","NA"
"TRIM62","TRIM62","NA"
"AL662907.3","AL662907.3","NA"
"ZNF362","ZNF362","NA"
"AL513327.3","AL513327.3","NA"
"A3GALT2","A3GALT2","NA"
"AL513327.1","AL513327.1","NA"
"PHC2","PHC2","NA"
"AL513327.2","AL513327.2","NA"
"ZSCAN20","ZSCAN20","NA"
"CSMD2","CSMD2","NA"
"HMGB4","HMGB4","NA"
"CSMD2.AS1","CSMD2-AS1","NA"
"C1orf94","C1ORF94","NA"
"SMIM12","SMIM12","NA"
"GJB5","GJB5","NA"
"GJB4","GJB4","NA"
"AL121988.1","AL121988.1","NA"
"GJB3","GJB3","NA"
"GJA4","GJA4","NA"
"AL122010.1","AL122010.1","NA"
"DLGAP3","DLGAP3","NA"
"AC114490.3","AC114490.3","NA"
"AC114490.2","AC114490.2","NA"
"TMEM35B","TMEM35B","NA"
"ZMYM6","ZMYM6","NA"
"ZMYM1","ZMYM1","NA"
"AL590434.1","AL590434.1","NA"
"SFPQ","SFPQ","NA"
"ZMYM4","ZMYM4","NA"
"ZMYM4.AS1","ZMYM4-AS1","NA"
"KIAA0319L","KIAA0319L","NA"
"NCDN","NCDN","NA"
"AC004865.2","AC004865.2","NA"
"TFAP2E","TFAP2E","NA"
"PSMB2","PSMB2","NA"
"C1orf216","C1ORF216","NA"
"CLSPN","CLSPN","NA"
"AL354864.1","AL354864.1","NA"
"AGO4","AGO4","NA"
"AGO1","AGO1","NA"
"AL139286.2","AL139286.2","NA"
"AGO3","AGO3","NA"
"AL138787.2","AL138787.2","NA"
"TEKT2","TEKT2","NA"
"ADPRHL2","ADPRHL2","NA"
"COL8A2","COL8A2","NA"
"TRAPPC3","TRAPPC3","NA"
"MAP7D1","MAP7D1","NA"
"THRAP3","THRAP3","NA"
"SH3D21","SH3D21","NA"
"EVA1B","EVA1B","NA"
"AL591845.1","AL591845.1","NA"
"STK40","STK40","NA"
"LSM10","LSM10","NA"
"OSCP1","OSCP1","NA"
"MRPS15","MRPS15","NA"
"CSF3R","CSF3R","NA"
"AL596257.1","AL596257.1","NA"
"AC117945.2","AC117945.2","NA"
"AC117945.1","AC117945.1","NA"
"GRIK3","GRIK3","NA"
"AL031430.1","AL031430.1","NA"
"AL353604.1","AL353604.1","NA"
"LINC01137","LINC01137","NA"
"ZC3H12A","ZC3H12A","NA"
"MEAF6","MEAF6","NA"
